family,L,PCR,order_churn,fill,cover_days,orders_per_year
Floating window (both),56,0.00965799340983979,0.9770114942528736,1.0,34.10074414475492,3.273542600896861
Fixed order quantity (LN),7,0.06999204635836836,0.4687975646879756,1.0,9.905548192218761,46.375186846038865
Fixed order quantity (LN),28,0.03238268378593342,0.5962343096234309,1.0,13.546803797599928,14.185351270553065
Economic order quantity (LN),10,0.1571412339506874,0.7532679738562091,1.0,8.56561447253012,78.01943198804186
Economic order quantity (LN),100,0.15611862288376321,0.8002329644729179,1.0,8.739446850230468,73.65470852017937
Economic order quantity (LN),1000,0.10612430405635723,0.9094449853943525,1.0,10.459636325192472,38.73692077727952
Floating window (both),7,0.09010339734121123,0.7080357142857143,1.0,3.699876992080175,45.82959641255606
Floating window (both),14,0.05294852857629815,0.7965811965811965,1.0,7.761365542009878,24.005979073243648
Floating window (both),28,0.03647312805363027,0.9358600583090378,1.0,15.087511770948243,13.094170403587444
Floating window (both),56,0.02136120895352801,0.9543147208121827,1.0,28.975825949630856,7.0926756352765326
Fixed order quantity (LN),7,0.1240768094534712,0.5947712418300654,1.0,3.9805335661146866,55.65022421524664
Fixed order quantity (LN),28,0.035791387342347464,0.6415478615071283,1.0,13.38711054668271,14.185351270553065
Economic order quantity (LN),10,0.1779343256448131,0.38204440107343257,1.0,1.258962114863629,167.49626307922273
Economic order quantity (LN),100,0.14384729008067265,0.6034318398474738,1.0,3.3357494598697848,73.10911808669657
Economic order quantity (LN),1000,0.07294625610726053,0.8503311258278146,1.0,10.064577070703724,25.097159940209266
Floating window (both),7,0.09657993409839791,0.8390918065153011,1.0,2.394182287682285,42.01046337817638
Floating window (both),14,0.060447676400409045,0.9349736379613357,1.0,5.9494878193999785,23.460388639760836
Floating window (both),28,0.03704124531303261,0.978978978978979,1.0,13.589423857162592,13.639760837070254
Floating window (both),56,0.02249744347233269,0.99,1.0,27.24540391732516,7.0926756352765326
Fixed order quantity (LN),7,0.09623906374275651,0.5478654592496766,1.0,3.3665413163396303,48.011958146487295
Fixed order quantity (LN),28,0.030678332007726395,0.5921052631578947,1.0,14.248454619777611,13.094170403587444
Economic order quantity (LN),10,0.28894443813203047,0.7706060606060606,1.0,0.0,136.94319880418536
Economic order quantity (LN),100,0.23292807635495966,0.6958587915818059,1.0,0.7705548700106267,115.66517189835575
Economic order quantity (LN),1000,0.16770821497557095,0.9389312977099237,1.0,3.055680338458765,54.559043348281016
Floating window (both),7,0.10169298943301898,0.8121597096188747,1.0,2.493177047934475,45.28400597907324
Floating window (both),14,0.062265651630496535,0.9087893864013267,1.0,5.90643933082647,24.55156950672646
Floating window (both),28,0.03829110328371776,0.9882697947214076,1.0,13.991088669783979,13.094170403587444
Floating window (both),56,0.02431541870242018,1.0,1.0,27.012776914799886,6.547085201793722
Fixed order quantity (LN),7,0.10930576070901034,0.5763930497303775,1.0,3.4116206748712687,50.73991031390135
Fixed order quantity (LN),28,0.03204181343029201,0.6211453744493393,1.0,13.215806026141818,13.094170403587444
Economic order quantity (LN),10,0.2559936370866947,0.5610059760956175,1.0,0.14352615552914363,165.31390134529147
Economic order quantity (LN),100,0.212134984660834,0.6389459274469541,1.0,1.210484236931628,111.30044843049328
Economic order quantity (LN),1000,0.14452903079195545,0.9244186046511628,1.0,4.42528139511469,47.46636771300449
Floating window (both),7,0.11680490853312124,0.8350934199837531,1.0,2.4967944352966667,50.73991031390135
Floating window (both),14,0.0645381206681059,0.9176090468497576,1.0,5.917463659608469,25.642750373692078
Floating window (both),28,0.04010907851380525,0.9915730337078652,1.0,13.851248843472627,13.094170403587444
Floating window (both),56,0.022951937279854562,0.9901960784313726,1.0,25.423806939012,6.547085201793722
Fixed order quantity (LN),7,0.11532780365867515,0.5904595695171612,1.0,3.41798280217755,49.648729446935725
Fixed order quantity (LN),28,0.03476877627542325,0.6538461538461539,1.0,13.80811733132553,12.548579970104633
Economic order quantity (LN),10,0.4506306101579366,0.64330900243309,1.0,0.04912894064283083,255.33632286995515
Economic order quantity (LN),100,0.4250653334848313,0.7882427307206068,1.0,0.5117100532681046,189.86547085201795
Economic order quantity (LN),1000,0.2829223951823656,0.970381917381138,1.0,2.0431234129323066,87.29446935724962
Floating window (both),7,0.036359504601749804,0.8268733850129198,1.0,12.025267609432248,15.822122571001495
Floating window (both),14,0.021020338597886604,0.8894230769230769,1.0,15.669923023735544,8.729446935724962
Floating window (both),28,0.013862061129417111,0.976,1.0,25.896120451827734,4.364723467862481
Floating window (both),56,0.008067265083513237,1.0,1.0,37.31133876088001,2.1823617339312404
Fixed order quantity (LN),7,0.049085331212362235,0.39308462238398545,1.0,10.27807281042264,40.37369207772795
Fixed order quantity (LN),28,0.03192818997841154,0.6017130620985011,1.0,13.469403154219354,14.185351270553065
Economic order quantity (LN),10,0.10294284740370413,0.6494623655913978,1.0,9.214999906942088,58.9237668161435
Economic order quantity (LN),100,0.0877173048517214,0.6266233766233766,1.0,9.924144093276796,50.73991031390135
Economic order quantity (LN),1000,0.06851494148392229,0.937791601866252,1.0,11.971801821292175,25.097159940209266
Floating window (both),7,0.03260993068969435,0.8367346938775511,1.0,12.884991040674409,14.185351270553065
Floating window (both),14,0.018520622656516304,0.9819277108433735,1.0,16.898194708391625,7.0926756352765326
Floating window (both),28,0.011816838995568686,0.9904761904761905,1.0,22.46162918122498,3.819133034379671
Floating window (both),56,0.0062492898534257475,0.9649122807017544,1.0,35.916921316529674,2.1823617339312404
Fixed order quantity (LN),7,0.07226451539597772,0.5398981324278438,1.0,11.100389796724347,39.28251121076233
Fixed order quantity (LN),28,0.03147369617088967,0.6087912087912087,1.0,13.93596528252405,13.639760837070254
Economic order quantity (LN),10,0.13532553118963755,0.6352,1.0,10.227990370136256,80.20179372197309
Economic order quantity (LN),100,0.1336211794114305,0.7803583278035833,1.0,10.569517023832686,64.9252615844544
Economic order quantity (LN),1000,0.08749005794796046,0.9378806333739342,1.0,11.749732824073467,32.73542600896861
Floating window (both),7,0.11794114305192592,0.8425324675324676,1.0,3.2487087826421686,50.19431988041853
Floating window (both),14,0.0652198613793887,0.8982785602503912,1.0,6.06703341409701,26.18834080717489
Floating window (both),28,0.0416998068401318,0.9865591397849462,1.0,14.705235150315968,13.094170403587444
Floating window (both),56,0.0231791841836155,0.9951219512195122,1.0,28.62562640856525,6.547085201793722
Fixed order quantity (LN),7,0.1083967730939666,0.5709156193895871,1.0,3.692893464074429,51.83109118086696
Fixed order quantity (LN),28,0.03590501079422793,0.6597077244258872,1.0,13.026226797407759,13.094170403587444
Economic order quantity (LN),10,0.3354164299511419,0.5359477124183006,1.0,0.20060832942015985,225.3288490284006
Economic order quantity (LN),100,0.30576070901033975,0.7531486146095718,1.0,0.9211051138166937,136.94319880418536
Economic order quantity (LN),1000,0.18725144869901147,0.9054945054945055,1.0,3.345853315727052,62.19730941704036
