persistence,sigma,churn,fill,cover,orders,elasticity_orders,elasticity_cover
0.0,0.0,0.0035661800914617804,0.9999151530134277,11.72845733484688,11.949112481315396,-40.582301163269406,117.69127867755746
0.0,0.1,0.6403192893152766,0.9995856557644003,12.671167817712103,12.107333707025411,-39.05329640896893,125.28276478723282
0.0,0.2,0.7286934791101553,0.9994613567304214,13.053585720359933,12.0957399103139,-39.09758353667182,125.87251004065254
0.0,0.3,0.7795991456016358,0.9993816679183599,13.396968649489352,12.077326233183857,-39.29013805604276,125.99964560720913
0.0,0.4,0.8123893123802065,0.999578417820045,13.916872772024945,12.073234304932734,-39.242362117121786,127.41380548140171
0.5,0.0,0.0035661800914617804,0.9999151530134277,11.72845733484688,11.949112481315396,-40.582301163269406,117.69127867755746
0.5,0.1,0.601901372815503,0.9995680120352222,12.79019337784115,12.096421898355754,-39.25316229574543,125.90025346170712
0.5,0.2,0.6894286439237897,0.9993170417384022,13.224133532099367,12.099831838565022,-39.25046120602877,126.17453919498777
0.5,0.3,0.7417963339022191,0.9994381733778064,13.78915546952834,12.087556053811658,-39.40962321893513,127.48036243202563
0.5,0.4,0.7811348388452423,0.9994412123609577,14.334229150362003,12.071870328849029,-39.47728396559202,128.48130212883206
0.8,0.0,0.0035661800914617804,0.9999151530134277,11.72845733484688,11.949112481315396,-40.582301163269406,117.69127867755746
0.8,0.1,0.5528880304452758,0.9995801681203609,12.749044491832722,12.102559790732437,-39.21198653626957,125.86528707107058
0.8,0.2,0.6398743288364536,0.9994192803090337,13.175023586182183,12.0957399103139,-39.33114197538236,126.6277846700504
0.8,0.3,0.693270955749649,0.999454348587659,13.667280589268337,12.099149850523167,-39.398420206837194,127.46435937755152
0.8,0.4,0.731617244498376,0.9994959971812282,14.124289537802287,12.090965994020928,-39.47661827420495,128.0125689085839
